datetime,day_of_the_month,interval,interval_sin,interval_cos,open,high,low,close,volume,RSI,Stoch_RSI,log_returns
2023-01-05 13:00:00,5,4,0.14904226617617444,0.9888308262251285,0.003357194236093264,0.0035450031170059515,0.002803597399925306,0.0034537088526163107,0.1918430238417016,0.4786920109825309,0.48576183906717374,0.0005546888272653689
2023-01-05 17:00:00,5,5,0.18591160716291458,0.9825664732332883,0.0034590331258792795,0.0034985704765794767,0.0033279128316212603,0.0036817027029973914,0.13718500248261858,0.4786059621351796,0.2520956933462918,0.0012406997333351654
2023-01-05 21:00:00,5,6,0.2225209339563144,0.9749279121818236,0.0036918233075635964,0.003477288849717347,0.003531126454726974,0.003332788154351063,0.09978504038347721,0.4785668299411937,0.1655357198435152,-0.0018993527138541236
2023-01-06 01:00:00,6,1,0.037391194276325625,0.9993007047883985,0.003338113073660137,0.0034670779681420516,0.003344580543239356,0.00335143327554438,0.10356870062900697,0.478483276802482,0.0,0.00010158795044967778
2023-01-06 05:00:00,6,2,0.07473009358642425,0.9972037971811801,0.003356758095237694,0.003094112083234818,0.003101187800736316,0.002920741879559069,0.11219373495107393,0.4786450480141825,0.3510665277475763,-0.0023492604095554726
2023-01-06 09:00:00,6,3,0.11196447610330786,0.9937122098932426,0.0029290129510936846,0.0028184182807025338,0.002327629370141554,0.0023118859921712476,0.13634746314590512,0.47795443127994175,0.0,-0.0033305251904502927
2023-01-06 13:00:00,6,4,0.14904226617617444,0.9888308262251285,0.002322886197003299,0.0032137406221114106,0.00198676914844112,0.003430593263768489,0.24101896325001568,0.47664230313156214,0.0,0.006110973946308369
2023-01-06 17:00:00,6,5,0.18591160716291458,0.9825664732332883,0.003428067125130635,0.004464949805455837,0.003378026348671792,0.004511028970811126,0.19558602385684268,0.47873643913219033,0.9097925917537437,0.005866675125460869
2023-01-06 21:00:00,6,6,0.2225209339563144,0.9749279121818236,0.004521799355798134,0.005277413529955505,0.004273998634792997,0.004628133416200553,0.15688267445473658,0.4787683664406933,0.9236633378475775,0.0006338048329405516
2023-01-07 01:00:00,7,1,0.037391194276325625,0.9993007047883985,0.0046297442175627646,0.0046422966959736855,0.004762439852741329,0.0046478688953583425,0.08063483874580923,0.4786909912970357,0.8900478838061544,0.00010677486529811408
2023-01-07 05:00:00,7,2,0.07473009358642425,0.9972037971811801,0.004656130739327441,0.004347148476966406,0.004670601865547436,0.004600220252308829,0.06923368998679283,0.4787452101078624,0.9136031220567113,-0.0002578129277669242
