,next_close
2025-08-13 14:00:00,0.033814378
2025-08-13 18:00:00,0.03308144
2025-08-13 18:00:00,0.03308144
2025-08-13 22:00:00,0.013124401
2025-08-13 22:00:00,0.013124401
2025-08-13 22:00:00,0.013124401
2025-08-14 02:00:00,0.0015469714
2025-08-14 02:00:00,0.0015469714
2025-08-14 02:00:00,0.0015469714
2025-08-14 02:00:00,0.0015469714
2025-08-14 06:00:00,0.0032141807
2025-08-14 06:00:00,0.0032141807
2025-08-14 06:00:00,0.0032141807
2025-08-14 06:00:00,0.0032141807
2025-08-14 06:00:00,0.0032141807
2025-08-14 10:00:00,-0.01724598
2025-08-14 10:00:00,-0.01724598
2025-08-14 10:00:00,-0.01724598
2025-08-14 10:00:00,-0.01724598
2025-08-14 10:00:00,-0.01724598
2025-08-14 10:00:00,-0.01724598
2025-08-14 14:00:00,-0.009647418
2025-08-14 14:00:00,-0.009647418
2025-08-14 14:00:00,-0.009647418
2025-08-14 14:00:00,-0.009647418
2025-08-14 14:00:00,-0.009647418
2025-08-14 14:00:00,-0.009647418
2025-08-14 14:00:00,-0.009647418
2025-08-14 18:00:00,-0.0032990847
2025-08-14 18:00:00,-0.0032990847
2025-08-14 18:00:00,-0.0032990847
2025-08-14 18:00:00,-0.0032990847
2025-08-14 18:00:00,-0.0032990847
2025-08-14 18:00:00,-0.0032990847
2025-08-14 18:00:00,-0.0032990847
2025-08-14 18:00:00,-0.0032990847
2025-08-14 22:00:00,0.0009352192
2025-08-14 22:00:00,0.0009352192
2025-08-14 22:00:00,0.0009352192
2025-08-14 22:00:00,0.0009352192
2025-08-14 22:00:00,0.0009352192
2025-08-14 22:00:00,0.0009352192
2025-08-14 22:00:00,0.0009352192
2025-08-14 22:00:00,0.0009352192
2025-08-14 22:00:00,0.0009352192
2025-08-15 02:00:00,-0.00025443052
2025-08-15 02:00:00,-0.00025443052
2025-08-15 02:00:00,-0.00025443052
2025-08-15 02:00:00,-0.00025443052
2025-08-15 02:00:00,-0.00025443052
2025-08-15 02:00:00,-0.00025443052
2025-08-15 02:00:00,-0.00025443052
2025-08-15 02:00:00,-0.00025443052
2025-08-15 02:00:00,-0.00025443052
2025-08-15 02:00:00,-0.00025443052
2025-08-15 06:00:00,0.0040735425
2025-08-15 06:00:00,0.0040735425
2025-08-15 06:00:00,0.0040735425
2025-08-15 06:00:00,0.0040735425
2025-08-15 06:00:00,0.0040735425
2025-08-15 06:00:00,0.0040735425
2025-08-15 06:00:00,0.0040735425
2025-08-15 06:00:00,0.0040735425
2025-08-15 06:00:00,0.0040735425
2025-08-15 06:00:00,0.0040735425
2025-08-15 06:00:00,0.0040735425
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 10:00:00,-0.022409773
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 14:00:00,-0.023069343
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 18:00:00,-0.023515278
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-15 22:00:00,-0.017326556
2025-08-16 02:00:00,-0.016733332
