,next_open,next_high,next_low,next_close
2023-01-14 17:00:00,20775.703684165914,21025.8627122565,20819.4380643347,20870.15267707156
2023-01-14 21:00:00,20857.875608062895,20988.705637846648,20722.892350704376,20871.50248898052
2023-01-15 01:00:00,20881.91460541618,20991.571435233313,21201.07457389505,21075.681352524916
2023-01-15 05:00:00,21151.926981389315,21195.23577649669,21024.817052404953,21109.232074367967
2023-01-15 09:00:00,20776.713283620706,21230.15356868604,20880.760818055893,20817.562389057763
2023-01-15 13:00:00,20721.67040764028,20934.69383715125,20822.529752033246,20994.17175472181
2023-01-16 01:00:00,20953.708885369957,21307.10496356243,21063.133428938832,21124.572297865772
2023-01-16 05:00:00,21175.309144874165,21245.462987641014,21001.871277615628,21133.651553538562
2023-01-16 09:00:00,21197.198918171183,21254.625810661786,21014.473277497662,21219.752082238294
2023-01-16 13:00:00,21144.213770313407,21340.973536278223,21405.07409209115,21176.061868850884
2023-01-16 17:00:00,21198.7334841879,21297.42596577381,21173.997523128273,21336.46185302939
2023-01-16 21:00:00,21236.806686192398,21459.30056014921,21175.125774380016,21134.812800666896
2023-01-17 09:00:00,21266.378265860945,21430.518965974486,21080.535057466717,21204.672208084296
2023-01-17 13:00:00,20954.40541970757,21326.299927563807,21407.577108068563,21042.732529803074
2023-01-17 17:00:00,20515.378921624288,21162.870013534637,20903.90334445083,20906.54235906674
2023-01-17 21:00:00,20734.330248248054,21024.248821803852,20709.446190282564,20677.472534498036
2023-01-18 01:00:00,20769.83857639497,20794.256561307622,20590.864446981945,20748.04224867297
2023-01-18 05:00:00,20854.161064889584,20865.473115212,20646.768210132275,20818.952618430827
2023-01-21 01:00:00,22731.934576527725,22919.52953845759,22712.70523473003,22758.302747384165
2023-01-21 05:00:00,22847.20945889522,22895.03559262792,22700.390299056013,22895.20226449985
2023-01-21 09:00:00,22856.59860814108,23032.70367448271,22671.723701734485,22783.612330347834
2023-01-21 13:00:00,22775.390822756934,22920.93186562419,22809.69286167386,22794.51299747948
2023-01-21 17:00:00,22817.331638472933,22930.91349658636,22692.911379020734,22722.15273604451
2023-01-21 21:00:00,22418.75609071898,22857.49155598122,22510.554481877112,22707.882222673274
2023-01-22 09:00:00,22792.343611111344,22831.987402576353,22690.498534121638,22904.583119242707
2023-01-22 13:00:00,22628.393085863805,23041.87808945993,22845.30590412817,22853.14156297869
2023-01-22 17:00:00,22783.881439189456,22992.28442996165,22909.094335463542,22792.472353116664
2023-01-22 21:00:00,22884.55666489682,22928.73368093763,22776.180022922028,22916.45234865421
2023-01-23 01:00:00,22996.59053659202,23055.231437176328,22874.5110744799,23079.272915761794
2023-01-23 05:00:00,23140.27745573656,23218.788398531357,22891.62629964699,23054.082542566128
2023-01-23 05:00:00,23140.27745573656,23218.788398531357,22891.62629964699,23054.082542566128
2023-01-23 09:00:00,22901.004491962183,23193.3846400186,22821.01792256646,22917.663067707996
2023-01-23 13:00:00,22841.432538480472,23054.52433908071,22767.102184756735,22931.3616260206
2023-01-23 17:00:00,22916.743944886588,23068.905432595002,22809.97751891349,23018.53251700512
2023-01-23 21:00:00,22590.96518646883,23156.07432015946,22811.400848267647,22632.891641805236
2023-01-24 01:00:00,22426.460748537123,22766.721722387072,22452.821907805384,22643.612371041858
2023-01-24 01:00:00,22426.460748537123,22766.721722387072,22452.821907805384,22643.612371041858
2023-01-24 05:00:00,22735.45797353646,22777.923436768742,22508.700222526742,22712.45280645885
2023-01-24 09:00:00,22603.15160046269,22847.369296455294,22476.422390768632,22598.47265659487
2023-01-24 13:00:00,22461.799066258438,22732.922270665422,22482.20278150889,22577.862784433568
2023-01-24 17:00:00,22638.488865843112,22713.08086809263,22502.125641044928,22748.862001011483
2023-01-24 21:00:00,22880.7399072404,22885.840616336725,23533.94417407642,23060.94301602557
2023-01-27 05:00:00,23083.765287623897,23256.703911563254,22863.36381614253,22991.51232311686
2023-01-27 09:00:00,23037.310199705586,23129.964311866694,22749.39847832411,22981.511598902394
2023-01-27 13:00:00,23010.5136760192,23119.519245380627,22775.748412464745,23012.542977397898
2023-01-27 17:00:00,23107.986817311237,23150.310531976134,22784.285938526016,23039.352083513742
2023-01-27 21:00:00,23074.667925562724,23177.89256216152,22774.56151786906,23022.60146987176
2023-01-28 01:00:00,23100.67676907927,23159.776717649005,23215.275460470406,23193.431876241873
2023-01-28 17:00:00,23609.79974232669,23668.12265105708,23675.069220713754,23897.841632287742
2023-01-28 21:00:00,23739.03916118637,24043.117751514204,23626.06239551397,23742.302895258686
2023-01-29 01:00:00,23705.819690214365,23888.421212628342,23518.02727841956,23701.443168078862
2023-01-29 05:00:00,23738.181345610043,23845.436321323563,23487.41877121341,23642.811683121257
2023-01-29 09:00:00,23150.3932886166,23786.92993924109,23396.80302871952,23077.472618888132
2023-01-29 13:00:00,23095.54796329129,23216.36535363414,23028.64334118484,23178.512698296614
2023-01-30 13:00:00,22982.79730462119,23002.911494980443,22935.433743396865,23121.801526541643
2023-01-30 17:00:00,23215.09426419417,23261.1050438363,22949.468238899684,23163.882139596626
2023-01-30 21:00:00,22944.106839602566,23302.675375839073,23046.482968351196,23125.13253269809
2023-01-31 01:00:00,23130.30113278606,23264.465687988257,22913.303827846583,23130.192499865872
2023-01-31 05:00:00,23150.464797450568,23270.086978461,22896.71902591839,23076.682959192167
2023-01-31 05:00:00,23150.464797450568,23270.086978461,22896.71902591839,23076.682959192167
2023-01-31 09:00:00,23051.778133936405,23215.55771720249,22830.586798019387,23077.52306044636
2023-01-31 09:00:00,23051.778133936405,23215.55771720249,22830.586798019387,23077.52306044636
2023-01-31 13:00:00,23070.99256974983,23217.334547184288,22874.600449034144,22979.733058458445
2023-01-31 13:00:00,23070.99256974983,23217.334547184288,22874.600449034144,22979.733058458445
2023-01-31 17:00:00,22891.139144413693,23117.722194748923,23217.99256116313,23385.99248686946
2023-01-31 17:00:00,22891.139144413693,23117.722194748923,23217.99256116313,23385.99248686946
2023-01-31 17:00:00,22891.139144413693,23117.722194748923,23217.99256116313,23385.99248686946
2023-01-31 21:00:00,23456.336756444784,23527.73709970184,23529.950507923855,23732.662613374305
2023-01-31 21:00:00,23456.336756444784,23527.73709970184,23529.950507923855,23732.662613374305
2023-01-31 21:00:00,23456.336756444784,23527.73709970184,23529.950507923855,23732.662613374305
2023-02-01 01:00:00,23829.930447626535,23876.349738636767,23964.0313058217,23848.602043795134
2023-02-01 01:00:00,23829.930447626535,23876.349738636767,23964.0313058217,23848.602043795134
2023-02-01 01:00:00,23829.930447626535,23876.349738636767,23964.0313058217,23848.602043795134
2023-02-01 05:00:00,23797.80356760287,23994.623567222072,23636.365481927704,23781.121802264413
2023-02-01 05:00:00,23797.80356760287,23994.623567222072,23636.365481927704,23781.121802264413
2023-02-01 09:00:00,23890.49254805572,23926.044562365216,23569.291969794747,23820.493075583065
2023-02-01 09:00:00,23890.49254805572,23926.044562365216,23569.291969794747,23820.493075583065
2023-02-01 13:00:00,23663.312969566545,23966.253062926724,23660.48663334862,23839.502006114617
2023-02-03 21:00:00,23395.36324894107,23567.390196919718,23174.018272736746,23326.84245299238
2023-02-04 01:00:00,23365.4550437206,23468.867107144128,23097.503297665942,23344.53318914313
2023-02-04 05:00:00,23462.617791996672,23485.894002208563,23157.69934255042,23377.402021674796
2023-02-04 05:00:00,23462.617791996672,23485.894002208563,23157.69934255042,23377.402021674796
2023-02-04 09:00:00,23481.56957971281,23518.69307401822,23144.363549590576,23356.333015657452
2023-02-04 09:00:00,23481.56957971281,23518.69307401822,23144.363549590576,23356.333015657452
2023-02-04 13:00:00,23133.239804419674,23498.3369378744,23100.261224659313,23096.162953424475
2023-02-04 13:00:00,23133.239804419674,23498.3369378744,23100.261224659313,23096.162953424475
2023-02-04 17:00:00,22873.74356536982,23235.994353089896,22887.26011604953,22891.802967704654
2023-02-04 17:00:00,22873.74356536982,23235.994353089896,22887.26011604953,22891.802967704654
2023-02-04 21:00:00,22926.256527702506,23029.837491129823,22761.890731043404,22932.91216960797
2023-02-05 01:00:00,22954.517195136847,23070.470586988304,22825.600351428784,22895.482245086165
2023-02-05 09:00:00,22866.129018055595,23017.990275540353,22673.55983287821,22878.2323097762
2023-02-05 13:00:00,22875.771462940254,23015.28596880604,22786.09175860668,23041.391446291997
2023-02-05 17:00:00,23053.717943209682,23181.43643169901,22887.750181837197,23031.032853649176
2023-02-05 21:00:00,22767.72701842425,23168.749954387247,22763.981017385027,22762.522013021215
2023-02-05 21:00:00,22767.72701842425,23168.749954387247,22763.981017385027,22762.522013021215
2023-02-06 01:00:00,22876.550532035108,22898.506397895002,22632.028948488038,22877.99222551846
2023-02-06 01:00:00,22876.550532035108,22898.506397895002,22632.028948488038,22877.99222551846
2023-02-06 01:00:00,22876.550532035108,22898.506397895002,22632.028948488038,22877.99222551846
2023-02-06 05:00:00,22993.338041310944,23015.04362241031,22719.408282436125,22910.913102927232
2023-02-06 05:00:00,22993.338041310944,23015.04362241031,22719.408282436125,22910.913102927232
2023-02-06 05:00:00,22993.338041310944,23015.04362241031,22719.408282436125,22910.913102927232
2023-02-06 09:00:00,22994.751746979826,23048.267718303683,22795.80645512407,22977.242248511502
2023-02-06 09:00:00,22994.751746979826,23048.267718303683,22795.80645512407,22977.242248511502
2023-02-06 13:00:00,23008.38242581436,23115.209662007914,22773.667526452155,22904.892583012836
2023-02-06 13:00:00,23008.38242581436,23115.209662007914,22773.667526452155,22904.892583012836
2023-02-06 17:00:00,22900.044946192607,23042.192214324095,23076.169547537105,23091.90252949578
2023-02-06 17:00:00,22900.044946192607,23042.192214324095,23076.169547537105,23091.90252949578
2023-02-06 21:00:00,23162.620398297546,23231.90797678883,23035.97317662663,23240.462584802885
2023-02-09 01:00:00,21877.207784335355,21924.91934743837,21690.381342102326,21825.592639194077
2023-02-09 05:00:00,21742.319031354313,21952.934351565335,21678.64387600642,21911.712260336128
2023-02-09 09:00:00,21834.762765659994,22038.737526612204,21679.34152789774,21733.52253645605
2023-02-09 13:00:00,21638.932469404772,21859.118990120965,21654.148815466113,21654.092359388535
2023-02-09 13:00:00,21638.932469404772,21859.118990120965,21654.148815466113,21654.092359388535
2023-02-09 17:00:00,21677.429556284995,21778.503044002486,21553.808095373333,21771.09211659034
2023-02-09 17:00:00,21677.429556284995,21778.503044002486,21553.808095373333,21771.09211659034
2023-02-09 21:00:00,21569.266898698923,21899.113917951774,21545.878120183424,21625.192231984332
2023-02-09 21:00:00,21569.266898698923,21899.113917951774,21545.878120183424,21625.192231984332
2023-02-09 21:00:00,21569.266898698923,21899.113917951774,21545.878120183424,21625.192231984332
2023-02-10 01:00:00,21719.48187371947,21750.68860308796,21482.11564024711,21678.56243841988
2023-02-10 01:00:00,21719.48187371947,21750.68860308796,21482.11564024711,21678.56243841988
